店铺名,ItemID,货号,尺码,价格
all_in_domain,397004946909,New - Nigel Sylvester x Air Jordan 4 OG Brick by Brick HF4340-800 Men,12 Men/13.5 Women,1120.0
all_in_domain,397004946909,New - Nigel Sylvester x Air Jordan 4 OG Brick by Brick HF4340-800 Men,13 Men/14.5 Women,796.0
all_in_domain,397004946909,New - Nigel Sylvester x Air Jordan 4 OG Brick by Brick HF4340-800 Men,14 Men/15.5 Women,969.0
brother_tao,177354866968,N-Sylvester x Air Jordan 4 OG Brick by Brick Orange HF4340-800 AJ4 Men's Size,3.5 Men,416.0
brother_tao,177354866968,N-Sylvester x Air Jordan 4 OG Brick by Brick Orange HF4340-800 AJ4 Men's Size,4 Men,408.0
brother_tao,177354866968,N-Sylvester x Air Jordan 4 OG Brick by Brick Orange HF4340-800 AJ4 Men's Size,4.5 Men,446.0
brother_tao,177354866968,N-Sylvester x Air Jordan 4 OG Brick by Brick Orange HF4340-800 AJ4 Men's Size,5 Men,518.0
brother_tao,177354866968,N-Sylvester x Air Jordan 4 OG Brick by Brick Orange HF4340-800 AJ4 Men's Size,5.5 Men,652.0
brother_tao,177354866968,N-Sylvester x Air Jordan 4 OG Brick by Brick Orange HF4340-800 AJ4 Men's Size,6 Men,923.0
brother_tao,177354866968,N-Sylvester x Air Jordan 4 OG Brick by Brick Orange HF4340-800 AJ4 Men's Size,6.5 Men,788.0
brother_tao,177354866968,N-Sylvester x Air Jordan 4 OG Brick by Brick Orange HF4340-800 AJ4 Men's Size,7 Men,698.0
brother_tao,177354866968,N-Sylvester x Air Jordan 4 OG Brick by Brick Orange HF4340-800 AJ4 Men's Size,7.5 Men,662.0
brother_tao,177354866968,N-Sylvester x Air Jordan 4 OG Brick by Brick Orange HF4340-800 AJ4 Men's Size,8 Men,620.0
brother_tao,177354866968,N-Sylvester x Air Jordan 4 OG Brick by Brick Orange HF4340-800 AJ4 Men's Size,8.5 Men,681.0
brother_tao,177354866968,N-Sylvester x Air Jordan 4 OG Brick by Brick Orange HF4340-800 AJ4 Men's Size,9 Men,681.0
brother_tao,177354866968,N-Sylvester x Air Jordan 4 OG Brick by Brick Orange HF4340-800 AJ4 Men's Size,9.5 Men,790.0
brother_tao,177354866968,N-Sylvester x Air Jordan 4 OG Brick by Brick Orange HF4340-800 AJ4 Men's Size,10 Men,815.0
brother_tao,177354866968,N-Sylvester x Air Jordan 4 OG Brick by Brick Orange HF4340-800 AJ4 Men's Size,10.5 Men,851.0
brother_tao,177354866968,N-Sylvester x Air Jordan 4 OG Brick by Brick Orange HF4340-800 AJ4 Men's Size,11 Men,910.0
brother_tao,177354866968,N-Sylvester x Air Jordan 4 OG Brick by Brick Orange HF4340-800 AJ4 Men's Size,11.5 Men,981.0
brother_tao,177354866968,N-Sylvester x Air Jordan 4 OG Brick by Brick Orange HF4340-800 AJ4 Men's Size,12 Men,1186.0
